ชื่อยา,ข้อบ่งใช้,ระดับความเสี่ยง,หมายเหตุ,แหล่งอ้างอิงข้อมูล
Paracetamol,ใช้สำหรับลดไข้และบรรเทาอาการปวด,ความเสี่ยงต่ำมาก,,Association for Promotion and Cultural and Research of Breastfeeding. Acetaminophen. Available from: http://www.e-lactancia.org/producto/1178.                                                         
Aspirin,ใช้สำหรับลดไข้ บรรเทาอาการปวด และต้านการอักเสบ,ความเสี่ยงต่ำ, ควรปรึกษาแพทย์หรือเภสัชกรหากต้องใช้ยานี้ เนื่องจากข้อมูลการใช้ยา asprin ในสตรีให้นมบุตรมีน้อย  ถึงแม้มีข้อมูลระบุว่าสามารถใช้ได้ในสตรีให้นมบุตร แต่ควรเฝ้าระวังผลข้างเคียงของยาที่อาจเกิดขึ้นในทารก และควรหลีกเลี่ยงการใช้ระยะยาว  ,"1. Association for Promotion and Cultural and Research of Breastfeeding. Aspirin. Available from: http://www.e-lactancia.org/producto/129.                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                      3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Diclofenac,ใช้สำหรับบรรเทาอาการปวด และต้านการอักเสบ,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Diclofenac ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Diclofenac มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Diclofenac. Available from: http://www.e-lactancia.org/producto/476.                                                         2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ibuprofen,ใช้สำหรับบรรเทาอาการปวด และต้านการอักเสบ,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Ibuprofen. Available from: http://www.e-lactancia.org/producto/816.
Indomethacin,ใช้สำหรับบรรเทาอาการปวด และต้านการอักเสบ,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Indomethacin ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา  Indomethacin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Indomethacin. Available from: http://www.e-lactancia.org/producto/831.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Naproxen,ใช้สำหรับบรรเทาอาการปวด และต้านการอักเสบ,ความเสี่ยงต่ำ,ข้อมูลการใช้ยา Naproxen ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Naproxen มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Naproxen. Available from: http://www.e-lactancia.org/producto/1089.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Piroxicam,ใช้สำหรับบรรเทาอาการปวด และต้านการอักเสบ,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Piroxicam. Available from: http://www.e-lactancia.org/producto/1232.
Amoxicillin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Amoxicillin. Available from: http://www.e-lactancia.org/producto/91.
Ampicillin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Ampicilline. Available from: http://www.e-lactancia.org/producto/93.
Cloxacillin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Cloxacillin. Available from: http://www.e-lactancia.org/producto/400.
