ลำดับที่,ชื่อสมุนไพร,ข้อบ่งใช้,ผลลัพท์การสืบค้น,แหล่งอ้างอิงข้อมูล
1,ขมิ้นชัน,ขับลม บรรเทาอาการท้องอืด ท้องเฟ้อ,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
2,ขิง,ขับลม บรรเทาอาการท้องอืด ท้องเฟ้อ รคลื่นไส้ อาเจียน,มีข้อมูลระบุว่าความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Ginger. Available from: http://www.e-lactancia.org/producto/880.                                                           
3,ชุมเห็ดเทศ,บรรเทาอาการท้องผูก,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
4,มะขามแขก,บรรเทาอาการท้องผูก,มีข้อมูลระบุว่าความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1),1.Breastfeeding Association for Promotion and Cultural and Research of. Senna alexandrina. Available from: http://www.e-lactancia.org/sinonimo/993.
5,กล้วย,บรรเทาอาการท้องเสีย และรักษาแผลในกระเพาะอาหาร,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
6,ฟ้าทะลายโจร,บรรเทาอาการท้องเสีย และบรรเทาอาการเจ็บคอ,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
7,ทิงเจอร์ทองพันชั่ง,ทาแก้กลากเกลื้อน โรคผิวหนังที่เกิดจากเชื้อรา น้ำกัดเท้า,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
8,ทิงเจอร์พลู,บรรเทาอาการผิวหนังอักเสบ อาการอักเสบจากแมลง กัด ต่อย,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
9,บัวบก,ใช้สมานแผล และแก้ไข้ แก้ร้อนใน ช้ำใน,มีข้อมูลระบุว่าความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Centella asiatica. Available from: http://www.e-lactancia.org/sinonimo/241.
10,เปลือกมังคุด,ทาแผลสด และแผลเรื้อรัง ,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
11,พญายอ,บรรเทาอาการของ เริมและงูสวัด,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
12,ว่านหางจระเข้,รักษาแผลไฟไหม้ น้ำร้อนลวก,มีข้อมูลระบุว่าความเสี่ยงต่อสตรีให้นมบุตรต่ำ (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Aloe vera. Available from: http://www.e-lactancia.org/otra_escritura/1475.
13,เมล็ดน้อยหน่า,กำจัดเหา,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
14,เถาวัลย์เปรียง,บรรเทาอาการปวดกล้ามเนื้อ ลดการอักเสบของกล้ามเนื้อ,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
15,กระเจี๊ยบแดง,ขับปัสสาวะ แก้ขัดเบา,มีข้อมูลระบุว่าความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Hibiscus sabdariffa. Available from: http://www.e-lactancia.org/otra_escritura/646.
16,หญ้าหนวดแมว,ขับปัสสาวะ แก้ขัดเบา ขับนิ่วขนาดเล็ก,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
17,มะระขี้นก,แก้ไข้ แก้ร้อนใน เจริญอาหาร,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
18,รางจืด,ถอนพิษไข้ แก้ร้อนใน,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
19,หญ้าปักกิ่ง,แก้ไข้ แก้ร้อนใน แก้น้ำเหลืองเสีย,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
20,หญ้าดอกขาว,ลดความอยากบุหรี่,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
